silo_name,start_time,end_time,treatment_time
73,1989,2000,control
46,1989,2000,control
54,1989,2000,control
23,1989,2000,control
86,1989,2000,control
32,1989,2000,control
71,1989,2000,1991
58,1989,2000,1993
64,1989,2000,1996
59,1989,2000,1997
85,1989,2000,1997
57,1989,2000,1998
